challenge_name,difficulty,points,comments,rating,category,solves
Practice Flag,Easy,10,444,4.0,Miscellaneous;intelagent,62454
Basic Injection,Easy,30,736,4.6,Web;intelagent,50471
Forensics 101,Easy,30,391,4.48,Forensics;intelagent,36288
Character Encoding,Easy,20,257,4.39,Cryptography;dknj11902,32430
Taking LS,Easy,10,344,3.87,Forensics;alexkato29,29564
Base 2 2 the 6,Easy,20,198,4.29,Cryptography;PedroContipelli,23675
Morse Code,Easy,20,163,3.74,Cryptography;yakatoi,22683
Where Can My Robot Go?,Easy,30,296,4.55,Miscellaneous;intelagent,21372
Reverse Polarity,Easy,30,130,4.12,Cryptography;aglickman,19541
Wikipedia,Easy,30,278,4.52,Miscellaneous;hanto,18072
POST Practice,Medium,40,295,4.44,Web;intelagent,17131
WOW.... So Meta,Easy,20,143,4.3,Forensics;3301_,16923
Binwalk,Easy,30,251,4.57,Forensics;alexkato29,16789
Hextroadinary,Easy,30,185,4.45,Cryptography;crypto,15623
Vigenere Cipher,Easy,20,157,4.4,Cryptography;yakatoi,14819
Don't Bump Your Head(er),Medium,40,250,4.59,Web;intelagent,12994
BruXOR,Easy,20,134,4.43,Cryptography;severus,11963
Exif,Easy,20,136,3.85,Forensics;pipetogrep,11467
07601,Medium,60,181,4.49,Forensics;alexkato29,10672
QR Code,Easy,30,135,4.34,Miscellaneous;severus,10612
HyperStream Test #2,Easy,30,108,4.31,Cryptography;leg3ndaryphil,10540
Rubber Duck,Easy,10,152,4.19,Forensics;kcbowhunter,10379
Git Is Good,Easy,30,110,4.48,Forensics;intelagent,10359
My Blog,Easy,20,173,4.37,Web;Noxtal,9829
Simple Programming,Easy,30,223,4.42,Programming;intelagent,9437
Snowboard,Easy,20,200,4.44,Forensics;kcbowhunter,7396
I'm a dump,Easy,10,82,4.06,Forensics;lancillotto,7360
Lazy Game Challenge,Easy,30,153,4.69,Binary;thekidofarcrania,7159
Inj3ction Time,Hard,100,144,4.7,Web;intelagent,6933
PikesPeak,Easy,20,108,3.67,Forensics;kcbowhunter,6707
Milk's Best Friend,Medium,40,94,4.3,Forensics;bobbyjives,6614
Substitution Cipher,Medium,60,80,4.23,Cryptography;skywalkrs,5970
A CAPture of a Flag,Medium,50,86,4.37,Forensics;hazzy,5911
Gobustme ?,Easy,30,123,4.75,Web;intelagent,5844
Chalkboard,Easy,30,95,4.42,Forensics;kcbowhunter,5519
Tux!,Easy,20,132,4.71,Forensics;kcbowhunter,5345
Up For A Little Challenge?,Medium,60,171,4.62,Forensics;skycoder,5211
RSA Noob,Medium,60,71,4.43,Cryptography;intelagent,5201
Modern Gaius Julius Caesar,Easy,30,113,4.32,Cryptography;Negatyw01,4912
Pho Is Tasty!,Easy,30,112,4.46,Forensics;kcbowhunter,4658
5x5 Crypto,Medium,60,61,4.13,Cryptography;skywalkrs,4539
Calculat3 M3,Hard,80,65,4.3,Web;intelagent,4474
Time Traveller,Easy,10,57,4.56,Miscellaneous;muhammetadibas,4349
So many 64s,Hard,80,88,3.89,Cryptography;voidmercy,4294
Digital Camouflage,Medium,40,79,4.22,Forensics;skywalkrs,4199
Simple Steganography,Easy,30,66,4.64,Forensics;emiwaydodo,4167
PDF by fdpumyp,Easy,20,48,4.15,Forensics;K1K9,3882
Suspecious message,Easy,30,76,4.44,Cryptography;xuadzilczak,3854
RSA Beginner,Medium,50,47,4.5,Cryptography;intelagent,3490
What could this be?,Medium,60,80,4.38,Miscellaneous;potatodrug,3273
Minions,Easy,20,110,4.67,Forensics;TedZak,3215
Basic Android RE 1,Easy,10,76,4.62,Reverse Engineering;jonp,3210
GandalfTheWise,Easy,30,137,4.59,Forensics;kcbowhunter,3172
Encryption Master,Hard,90,75,3.6,Cryptography;skywalkrs,2909
Corrupted File,Hard,70,76,4.56,Forensics;javier,2800
Simple bof,Easy,10,66,4.85,Binary;thekidofarcrania,2757
Image Magic,Hard,70,61,4.62,Programming;intelagent,2340
The Credit Card Fraudster,Easy,20,115,4.73,Programming;ebouteillon,2285
Tone dialing,Easy,30,75,4.63,Cryptography;GreenGoblin30,2279
Blank Page,Easy,30,85,4.61,Forensics;Haker,2248
PIN,Medium,60,50,4.13,Reverse Engineering;mils,2049
Ambush Mission,Medium,60,80,4.5,Miscellaneous;pian,1915
The adventures of Boris Ivanov. Part 1.,Medium,60,64,4.45,Forensics;nomad,1905
abandoned place,Easy,30,80,4.66,Forensics;zed-zahir,1852
Symbolic Decimals,Hard,80,36,3.8,Cryptography;skywalkrs,1829
Exclusive Santa,Medium,60,43,4.65,Forensics;EdbR,1658
Reykjavik,Easy,10,130,4.66,Reverse Engineering;kcbowhunter,1523
RSA Twins!,Hard,90,25,4.29,Cryptography;justducky,1519
Help Bity,Medium,60,49,3.47,Miscellaneous;ioancristian,1513
Naughty Cat,Medium,50,84,4.84,Forensics;Negatyw01,1491
ALEXCTF CR2: Many time secrets,Medium,60,29,4.48,Cryptography;jowls,1471
RIP my bof,Easy,30,32,4.82,Binary;thekidofarcrania,1366
Smiling ASCII,Medium,40,31,4.51,Forensics;lvmalware,1239
Seeing is believing,Hard,70,45,4.79,Forensics;sengokumedaru,1205
Favorite Color,Medium,60,56,4.7,Binary;thekidofarcrania,1196
Rock Paper Scissors,Medium,40,35,4.38,Miscellaneous;intelagent,1190
MountainMan,Medium,50,43,4.59,Forensics;kcbowhunter,1166
The Simpsons,Hard,80,43,4.64,Cryptography;dankmemes,1094
My Friend John,Easy,30,57,4.77,Miscellaneous;Namespace,1052
RE_verseDIS,Medium,50,23,4.38,Reverse Engineering;cacadosman,999
